,concept,label,standard_concept,2022-12-31,2021-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
12,us-gaap_OperatingLeaseRightOfUseAsset,Final Allocation - OCESA Acquisition,,,,5,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_FinalAllocationMember,Final Allocation,"lyv:PurchasePriceAllocationAxis: Final Allocation, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
13,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract,Intangible assets,,,,4,True,False,False,,,,,,,,,us-gaap_AssetsAbstract
14,us-gaap_FiniteLivedIntangibleAssetsNet,"Definite-lived intangible assets, net",IntangibleAssets,1050622000.0,1026338000.0,6,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
15,us-gaap_FiniteLivedIntangibleAssetsNet,Client vendor relationships,,353692000.0,398205000.0,6,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,lyv_ClientVendorRelationshipsMember,Client vendor relationships,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Client vendor relationships,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
16,us-gaap_FiniteLivedIntangibleAssetsNet,Revenue-generating contracts,,508204000.0,317349000.0,6,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_ContractualRightsMember,Revenue-generating contracts,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Revenue-generating contracts,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
17,us-gaap_FiniteLivedIntangibleAssetsNet,Venue management and leaseholds,,89434000.0,185927000.0,6,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,lyv_VenueManagementAndLeaseholdsMember,Venue management and leaseholds,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Venue management and leaseholds,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
18,us-gaap_FiniteLivedIntangibleAssetsNet,Trademarks and naming rights,,90665000.0,101516000.0,6,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_TrademarksAndTradeNamesMember,Trademarks and naming rights,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Trademarks and naming rights,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
19,us-gaap_FiniteLivedIntangibleAssetsNet,Technology,,9517000.0,18960000.0,6,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_DevelopedTechnologyRightsMember,Technology,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Technology,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
20,us-gaap_FiniteLivedIntangibleAssetsNet,Other Intangible Assets,,890000.0,4381000.0,6,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_OtherIntangibleAssetsMember,Other Intangible Assets,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Other Intangible Assets,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
21,us-gaap_IndefiniteLivedIntangibleAssetsExcludingGoodwill,"Indefinite-lived intangible assets, net",IntangibleAssets,368712000.0,369028000.0,6,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
22,us-gaap_IndefiniteLivedIntangibleAssetsExcludingGoodwill,Trade Names,,368700000.0,369000000.0,6,False,True,True,us-gaap:IndefiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_TradeNamesMember,Trade Names,us-gaap:IndefiniteLivedIntangibleAssetsByMajorClassAxis: Trade Names,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
23,us-gaap_Goodwill,Goodwill,Goodwill,2529380000.0,2590869000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
24,us-gaap_Goodwill,Initial Allocation - OCESA Acquisition,,,,5,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_InitialAllocationMember,Initial Allocation,"lyv:PurchasePriceAllocationAxis: Initial Allocation, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
25,us-gaap_Goodwill,Valuation Adjustments - OCESA Acquisition,,,,5,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_ValuationAdjustmentsMember,Valuation Adjustments,"lyv:PurchasePriceAllocationAxis: Valuation Adjustments, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
26,us-gaap_Goodwill,Final Allocation - OCESA Acquisition,,,,5,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_FinalAllocationMember,Final Allocation,"lyv:PurchasePriceAllocationAxis: Final Allocation, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
27,us-gaap_Goodwill,OCESA Acquisition - Ticketing,,195500000.0,,5,False,True,True,us-gaap:BusinessAcquisitionAxis,lyv_OCESAMember,OCESA Acquisition,"us-gaap:BusinessAcquisitionAxis: OCESA Acquisition, us-gaap:StatementBusinessSegmentsAxis: Ticketing",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
28,us-gaap_Goodwill,OCESA Acquisition - Sponsorship and Advertising,,176400000.0,,5,False,True,True,us-gaap:BusinessAcquisitionAxis,lyv_OCESAMember,OCESA Acquisition,"us-gaap:BusinessAcquisitionAxis: OCESA Acquisition, us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
29,us-gaap_Goodwill,Concerts,,914063000.0,955088000.0,5,False,True,True,us-gaap:StatementBusinessSegmentsAxis,lyv_ConcertsMember,Concerts,us-gaap:StatementBusinessSegmentsAxis: Concerts,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
30,us-gaap_Goodwill,Ticketing,,979742000.0,930064000.0,5,False,True,True,us-gaap:StatementBusinessSegmentsAxis,lyv_TicketingMember,Ticketing,us-gaap:StatementBusinessSegmentsAxis: Ticketing,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
31,us-gaap_Goodwill,Sponsorship and Advertising,,635575000.0,705717000.0,5,False,True,True,us-gaap:StatementBusinessSegmentsAxis,lyv_SponsorshipAndAdvertisingMember,Sponsorship and Advertising,us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
32,us-gaap_PrepaidExpenseNoncurrent,Long-term advances,OtherNonOperatingNonCurrentAssets,568558000.0,552697000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
33,us-gaap_OtherAssetsNoncurrent,Other long-term assets,OtherNonOperatingNonCurrentAssets,724989000.0,548453000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
34,us-gaap_Assets,Total assets,Assets,16460841000.0,14402318000.0,4,False,False,False,,,,,debit,1.0,1.0,,us-gaap_AssetsAbstract
35,us-gaap_Assets,"Variable Interest Entity, Primary Beneficiary",,514000000.0,363000000.0,5,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",debit,1.0,1.0,,us-gaap_AssetsAbstract
36,us-gaap_LiabilitiesAndStockholdersEquityAbstract,LIABILITIES AND EQUITY,,,,3,True,False,False,,,,,,,,,us-gaap_StatementLineItems
37,us-gaap_LiabilitiesCurrentAbstract,Current liabilities,,,,4,True,False,False,,,,,,,,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
38,lyv_AccountsPayableClientAccounts,"Accounts payable, client accounts",,1791025000.0,1532345000.0,6,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
39,lyv_AccountsPayableClientAccounts,Initial Allocation - OCESA Acquisition,,,,6,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_InitialAllocationMember,Initial Allocation,"lyv:PurchasePriceAllocationAxis: Initial Allocation, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
40,lyv_AccountsPayableClientAccounts,Valuation Adjustments - OCESA Acquisition,,,,6,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_ValuationAdjustmentsMember,Valuation Adjustments,"lyv:PurchasePriceAllocationAxis: Valuation Adjustments, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
41,lyv_AccountsPayableClientAccounts,Final Allocation - OCESA Acquisition,,,,6,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_FinalAllocationMember,Final Allocation,"lyv:PurchasePriceAllocationAxis: Final Allocation, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
42,us-gaap_AccountsPayableCurrent,Accounts payable,TradePayables,180076000.0,110623000.0,6,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
43,us-gaap_AccruedLiabilitiesCurrent,Accrued expenses,OtherOperatingCurrentLiabilities,2368434000.0,1645906000.0,6,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
